PAINTING_NAME,ARTIST_NAME,PAINTING_IMAGE_PATH
Saint Mary Magdalen,Simon Vouet,hist_paintings\480371359.jpg
Saint Michael Vanquishing Satan,Raffaello Sanzio,hist_paintings\1813327529.jpg
Saint Peter Repentant,Georges de La Tour,hist_paintings\1119911521.jpg
Samson and Delilah,Gerrit van Honthorst,hist_paintings\837383776.jpg
Seascape at Port-en-Bessin,Georges Seurat,hist_paintings\579324922.jpg
Seed for sowing should not be milled,Käthe Kollwitz,hist_paintings\1747654057.jpg
Self Portrait,Alice Bailly,hist_paintings\149829443.jpg
Self Portrait,Leonardo da Vinci,hist_paintings\1774954497.jpg
Self Portrait,Louise Catherine Breslau,hist_paintings\491575206.jpg
Self-portrait with her father,Constance Mayer,hist_paintings\604027293.jpg
Self-portrait with Two Pupils,Adélaïde Labille-Guiard,hist_paintings\650111781.jpg
Self-portrait,Albrecht Dürer,hist_paintings\1475062693.jpg
Self-portrait,Anna Dorothea Therbusch,hist_paintings\1127576993.jpg
Self-portrait,Anna Waser,hist_paintings\760658065.jpg
Self-portrait,Gwen John,hist_paintings\1189122993.jpg
Shadows of the Night,Melanee Alfonso,hist_paintings\821564429.jpg
Simplon Pass,John Singer Sargent,hist_paintings\56775075.jpg
Sketchbook,Gustave Caillebotte,hist_paintings\568140738.jpg
Sky,John Singer Sargent,hist_paintings\196129754.jpg
Sleepy Baby,Mary Cassatt,hist_paintings\387250010.jpg
Spanish Dancer Wearing a Lace Mantilla,Mary Cassatt,hist_paintings\765586098.jpg
Spanish Dancer,Alexandre Lunois,hist_paintings\1877322866.jpg
Spring in Orsay (The White Tree),Alice Bailly,hist_paintings\1922201503.jpg
Spring,Marie Bashkirtseff,hist_paintings\2006437316.jpg
Starry Night Over the Rhone,Vincent van Gogh,hist_paintings\1607056517.jpg
Starry Night,Hiroaki Takahashi,hist_paintings\90876579.jpg
Still Life Composition,Maria Blanchard,hist_paintings\2133583077.jpg
Still Life with Mackerel,Anne Vallayer Coster,hist_paintings\186554786.jpg
Still Life with Melon and Peaches,Édouard Manet,hist_paintings\985619128.jpg
Still Life with musical instruments,Anne Vallayer Coster,hist_paintings\109108893.jpg
Still Life with Tea Cup,Samuel Colman,hist_paintings\1527491103.jpg
Still Life with Teapot and Fruit,Paul Gauguin,hist_paintings\10918073.jpg
Still Life,Paul Cézanne,hist_paintings\16745604.jpg
Storming the Gate,Käthe Kollwitz,hist_paintings\1302256353.jpg
Strange Festival (Les Trouvères),Alice Bailly,hist_paintings\91291697.jpg
Strawberry Tea Set,Frederick Childe Hassam,hist_paintings\1851955588.jpg
Street Scene and Child's Head,Käthe Kollwitz,hist_paintings\2028361390.jpg
Studies of Summer Flowers,Jacques–Laurent Agasse,hist_paintings\878325206.jpg
Study of a man aged 93,Albrecht Dürer,hist_paintings\1759588303.jpg
Sunrise in Södertälje,Mina Carlson-Bredberg,hist_paintings\1751270686.jpg
Tears of Esclarmonde,Eric N. Duran,hist_paintings\380851471.jpg
The Adoration of the Magi,Giovanni di Paolo,hist_paintings\1552335814.jpg
The Agony in the Garden,Raffaello Sanzio,hist_paintings\1753967602.jpg
The Allegory of Painting,Johannes Vermeer,hist_paintings\547807905.jpg
The Ancestors of Tehamana,Paul Gauguin,hist_paintings\167891839.jpg
The Art of Feeling Everything,Melanee Alfonso,hist_paintings\388642813.jpg
The Artist and Her Model,Louise Catherine Breslau,hist_paintings\472868164.jpg
The Artist's Daughter Julie with her Nanny,Berthe Morisot,hist_paintings\759511970.jpg
The Artist's Garden at Eragny,Camille Pissarro,hist_paintings\1981704877.jpg
The Artist's Garden at Vétheuil,Claude Monet,hist_paintings\1933304340.jpg
The Astronomer,Johannes Vermeer,hist_paintings\1648730769.jpg
The Basket of Apples,Paul Cézanne,hist_paintings\1578230851.jpg
The Beach and the Falaise d'Amont,Claude Monet,hist_paintings\2042902241.jpg
The Bohemian,Jacqueline Marval,hist_paintings\1033426872.jpg
The Bridge at Argenteuil,Claude Monet,hist_paintings\1078808543.jpg
The Café Concert,Édouard Manet,hist_paintings\750532140.jpg
The Card Players,Paul Cézanne,hist_paintings\2038609673.jpg
The Cat,Gwen John,hist_paintings\1260957852.jpg
The Child's Bath,Mary Cassatt,hist_paintings\1377810906.jpg
The Cicadas,Jacqueline Marval,hist_paintings\488448343.jpg
The Communicant,Maria Blanchard,hist_paintings\1761554627.jpg
The Concert,Johannes Vermeer,hist_paintings\2110758304.jpg
The Convalescent,Gwen John,hist_paintings\789335369.jpg
The crowning with thorns,Caravaggio,hist_paintings\382466313.jpg
The Dance Lesson,Edgar Degas,hist_paintings\1224019837.jpg
The Dancing Class,Edgar Degas,hist_paintings\639193708.jpg
The Denial of Peter,Peter Wtewael,hist_paintings\1458317089.jpg
The Drinkers,Vincent Van Gogh,hist_paintings\1972804287.jpg
The Fancy Goods Store,Alexandra lunois,hist_paintings\669366368.jpg
The Forest at Pontaubert,Georges Seurat,hist_paintings\1484651052.jpg
The Fountain in Villa Torlonia,John Singer Sargent,hist_paintings\940686686.jpg
The Funeral,Édouard Manet,hist_paintings\1325933516.jpg
The Gamblers,Hendrick ter Brugghen,hist_paintings\956036082.jpg
The Garden of Earthly Delights,Hieronymus Bosch,hist_paintings\592342715.jpg
The Gaumont-Palace cinema place de Clichy,Louis Abel-Truchet,hist_paintings\6398539.jpg
The gleaners,Camille Pissarro,hist_paintings\1360733931.jpg
The Holy Family on the Steps,Nicolas Poussin,hist_paintings\123355264.jpg
The Horse Fair,Rosa Bonheur,hist_paintings\1374393598.jpg
The Japanese Footbridge,Claude Monet,hist_paintings\1838545477.jpg
The Jetty at Cassis-Opus 198,Paul Signac,hist_paintings\1218413704.jpg
The king and his Staff,Carina Duran,hist_paintings\1765492062.jpg
The King and The Queen,Carina Duran,hist_paintings\1374071107.jpg
The Kiss,Gustav Klimt,hist_paintings\352333556.jpg
The Lacemaker,Johannes Vermeer,hist_paintings\1199798435.jpg
The Last Supper,Leonardo da Vinci,hist_paintings\607861771.jpg
The Little Pond Appledore,Frederick Childe Hassam,hist_paintings\2096743899.jpg
The Little Street,Johannes Vermeer,hist_paintings\115499479.jpg
The Lock at Pontoise,Camille Pissarro,hist_paintings\1130802379.jpg
The Love Letter,Johannes Vermeer,hist_paintings\223447810.jpg
The March of the Weavers in Berlin,Käthe Kollwitz,hist_paintings\1488243204.jpg
The Merchant of Herbal Tea,Françoise Duparc,hist_paintings\1960829562.jpg
The Milkmaid,Johannes Vermeer,hist_paintings\767403538.jpg
The Milliners,Louise Catherine Breslau,hist_paintings\1647997947.jpg
The Mothers,Käthe Kollwitz,hist_paintings\1271139960.jpg
The Night Café,Vincent van Gogh,hist_paintings\2137199706.jpg
The Nun,Gwen John,hist_paintings\417576814.jpg
The Odalisques,Jacqueline Marval,hist_paintings\763000445.jpg
The Old Musician,Édouard Manet,hist_paintings\1371501289.jpg
The Old Woman,Françoise Duparc,hist_paintings\1471271715.jpg
The Parsonage Garden at Nuenen,Vincent van Gogh,hist_paintings\1676181778.jpg
The Pink Cloud,Henri-Edmond Cross,hist_paintings\1077809371.jpg
The Plenary Sigil,Eric N. Duran,hist_paintings\647547524.jpg
The Potato Eaters,Vincent van Gogh,hist_paintings\90145602.jpg
The Punishment of Korah and the Stoning of Moses and Aaron,Sandro Botticelli,hist_paintings\497053825.jpg
The queen and her staff,Carina Duran,hist_paintings\992617654.jpg
The Rehearsal Onstage,Edgar Degas,hist_paintings\322797253.jpg
